CNC Machine Opened at 03/07/2012 19:59:01
03/07/2012 19:59:03: Drill Location = (0, 0, 0); Message: UART Open
03/07/2012 19:59:06: Drill Location = (0, 0, 0); Message: Data Sent: z
03/07/2012 19:59:06: Drill Location = (0, 0, -1); Message: Received: K
03/07/2012 19:59:06: Drill Location = (0, 0, -1); Message: Received: D
03/07/2012 19:59:06: Drill Location = (0, 0, -1); Message: Data Sent: z
03/07/2012 19:59:06: Drill Location = (0, 0, -2); Message: Received: K
03/07/2012 19:59:06: Drill Location = (0, 0, -2); Message: Received: D
03/07/2012 19:59:06: Drill Location = (0, 0, -2); Message: Data Sent: z
03/07/2012 19:59:06: Drill Location = (0, 0, -3); Message: Received: K
03/07/2012 19:59:06: Drill Location = (0, 0, -3); Message: Received: D
03/07/2012 19:59:07: Drill Location = (0, 0, -3); Message: Data Sent: S
03/07/2012 19:59:07: Drill Location = (0, 0, -3); Message: Received: K
03/07/2012 19:59:07: Drill Location = (0, 0, -3); Message: Data Sent: R
03/07/2012 19:59:07: Drill Location = (0, 0, -3); Message: Received: K
03/07/2012 19:59:07: Drill Location = (0, 0, -3); Message: Data Sent: z
03/07/2012 19:59:07: Drill Location = (0, 0, -4); Message: Received: K
03/07/2012 19:59:08: Drill Location = (0, 0, -4); Message: Data Sent: z
03/07/2012 19:59:08: Drill Location = (0, 0, -5); Message: Received: K
03/07/2012 19:59:08: Drill Location = (0, 0, -5); Message: Received: D
03/07/2012 19:59:08: Drill Location = (0, 0, -5); Message: Data Sent: z
03/07/2012 19:59:08: Drill Location = (0, 0, -6); Message: Received: K
03/07/2012 19:59:08: Drill Location = (0, 0, -6); Message: Data Sent: z
03/07/2012 19:59:08: Drill Location = (0, 0, -7); Message: Received: K
03/07/2012 19:59:08: Drill Location = (0, 0, -7); Message: Received: D
03/07/2012 19:59:08: Drill Location = (0, 0, -7); Message: Data Sent: z
03/07/2012 19:59:08: Drill Location = (0, 0, -8); Message: Received: K
03/07/2012 19:59:08: Drill Location = (0, 0, -8); Message: Data Sent: z
03/07/2012 19:59:08: Drill Location = (0, 0, -9); Message: Received: K
03/07/2012 19:59:08: Drill Location = (0, 0, -9); Message: Received: D
03/07/2012 19:59:09: Drill Location = (0, 0, -9); Message: Data Sent: z
03/07/2012 19:59:09: Drill Location = (0, 0, -10); Message: Received: K
03/07/2012 19:59:09: Drill Location = (0, 0, -10); Message: Received: D
03/07/2012 19:59:09: Drill Location = (0, 0, -10); Message: Data Sent: z
03/07/2012 19:59:09: Drill Location = (0, 0, -11); Message: Received: K
03/07/2012 19:59:09: Drill Location = (0, 0, -11); Message: Data Sent: z
03/07/2012 19:59:09: Drill Location = (0, 0, -12); Message: Received: K
03/07/2012 19:59:09: Drill Location = (0, 0, -12); Message: Received: D
03/07/2012 19:59:10: Drill Location = (0, 0, -12); Message: Data Sent: z
03/07/2012 19:59:10: Drill Location = (0, 0, -13); Message: Received: K
03/07/2012 19:59:10: Drill Location = (0, 0, -13); Message: Received: D
03/07/2012 19:59:10: Drill Location = (0, 0, -13); Message: Data Sent: z
03/07/2012 19:59:10: Drill Location = (0, 0, -14); Message: Received: K
03/07/2012 19:59:10: Drill Location = (0, 0, -14); Message: Received: D
03/07/2012 19:59:10: Drill Location = (0, 0, -14); Message: Data Sent: z
03/07/2012 19:59:10: Drill Location = (0, 0, -15); Message: Received: K
03/07/2012 19:59:11: Drill Location = (0, 0, -15); Message: Received: D
03/07/2012 19:59:11: Drill Location = (0, 0, -15); Message: Data Sent: z
03/07/2012 19:59:11: Drill Location = (0, 0, -16); Message: Received: K
03/07/2012 19:59:11: Drill Location = (0, 0, -16); Message: Received: D
03/07/2012 19:59:11: Drill Location = (0, 0, -16); Message: Data Sent: z
03/07/2012 19:59:11: Drill Location = (0, 0, -17); Message: Received: K
03/07/2012 19:59:12: Drill Location = (0, 0, -17); Message: Received: D
03/07/2012 19:59:12: Drill Location = (0, 0, -17); Message: Data Sent: z
03/07/2012 19:59:12: Drill Location = (0, 0, -18); Message: Received: K
03/07/2012 19:59:12: Drill Location = (0, 0, -18); Message: Received: D
03/07/2012 19:59:12: Drill Location = (0, 0, -18); Message: Data Sent: z
03/07/2012 19:59:12: Drill Location = (0, 0, -19); Message: Received: K
03/07/2012 19:59:12: Drill Location = (0, 0, -19); Message: Received: D
03/07/2012 19:59:13: Drill Location = (0, 0, -19); Message: Data Sent: z
03/07/2012 19:59:13: Drill Location = (0, 0, -20); Message: Received: K
03/07/2012 19:59:13: Drill Location = (0, 0, -20); Message: Received: D
